1083805	1283805
1609516	1720123
8668859	8812827
13245159	13429749
16880179	16998245
37714745	37826968
57288465	57408242
67485262	67607550
83274363	83403829
95469800	95527429
103956056	104113271
113251567	113304968
172735904	172836399
174297609	174457198
231322487	231474039
246754133	246932000
12826893	13583803
25510392	25559491
105861577	106036917
140903396	141765769
143597265	143807163
159789853	159821663
238429482	238461503
246711567	246857031
2446450	2478865
13082358	13084889
16760883	16764275
25445605	25544725
34862127	34887178
72507579	72595782
107175823	107206654
110025520	110054404
112491625	112512823
143586336	143624905
144036453	144068323
144061077	144091155
146476038	146477425
148088263	148119731
150449799	150453775
150816580	150875096
151013059	151040222
153502429	153508303
153511518	153514946
196739236	196754612
205763497	205805949
216247751	216282164
17845	167209
12066125	12263549
12959729	13300692
16795829	16882680
25415444	25562767
103979519	104094855
105789056	105959460
142206285	142356882
142690296	142785224
143673834	143791318
194936135	195082994
195063101	195221853
236817115	236819235
45257	76166
6717817	6720271
10292899	10301003
10297766	10301003
16887326	16890262
16891707	16908818
16908818	16923823
17097845	17126415
17126415	17137953
55496405	55497788
62211975	62215834
62214376	62215834
65946538	65951791
66030426	66041654
72540340	72550161
72540340	72561278
72542017	72549855
94910672	94915316
94923454	94925850
111180773	111182243
119924945	119929020
147390776	147392563
147507662	147509945
150835102	150847144
150824684	150828032
195004814	195025053
195882014	195968848
198365160	198371615
231303195	231308213
246851482	246860246
10628678	10640184
34876909	34880863
46092101	46130597
86175057	86177084
87409982	87412646
101784062	101786303
111180501	111189735
111180501	111184586
112497782	112505805
113409780	113416967
113884455	113897620
114609082	114610154
145161546	145301974
147308446	147356586
147333923	147425688
147333923	147382788
147333923	147411558
147314918	147377167
147377167	147387670
147484617	147505129
147495710	147507662
148945534	148947612
149010116	149059240
151030779	151033105
158929056	158941968
159887552	159901749
162527361	162589049
164097752	164106356
167114988	167155209
173064490	173068262
187978794	188036884
195059832	195062807
241125523	241131051
241128682	241130779
55871	68941
10297766	10301003
10628678	10640184
12783336	12790824
16884242	16896887
17126415	17137953
34876909	34880863
43689996	43706276
62214376	62215834
72540340	72579542
86175057	86177084
87409982	87412646
88089816	88098295
91563464	91573795
94910672	94925850
110030105	110037055
111180501	111184586
114609082	114610154
119924945	119929020
143864903	143883975
147467750	147484617
147495710	147509945
149585357	149611327
150346613	150350663
150821800	150850302
151027995	151036431
173064490	173068262
187978794	188048192
207188300	207192596
227888902	227894006
241125523	241131051
17845	167209
1483131	1637358
16795829	16882680
22014653	22219083
22954610	23135997
25415444	25562767
103979519	104094855
108593907	108752274
143852300	143999773
146578326	146719169
147955478	148102904
194526471	194685639
194936135	195082994
195063101	195221853
246768571	246944046
204922611	205124381
77822	1008567
1452629	1683586
3574901	3645396
7494050	7610646
12710993	13672044
14177669	14244987
16000067	16027694
16681281	17180745
25318097	25336438
30478922	30514243
31454967	32238918
38901188	38910242
53261152	53304705
55042239	55081197
72869688	72887793
75855996	75929574
77011006	77075473
77547602	77561050
81660005	81669334
83375945	83716816
94892378	94931191
102144927	102189681
105946185	106025589
106580566	106647676
107455508	107511243
111588918	111596256
111625374	111636507
112496617	112512047
113048153	116500791
119900184	119963965
142736050	144255274
144308473	144724627
146268901	148262603
149595418	149678259
